"MasterKurs","Count","Start","Ende"
"- Kommunikationspolitik","2","20101","20131"
"- Marketingtheorie","1","20101","20122"
"ACC 350 International Accounting [engl. Exp.]","5","20102","20152"
"ACC 510 Jahresabschluss","3","20201","20222"
"ACC 511 Konzernrechnungslegung","3","20102","20181"
"ACC 520 IFRS Reporting and Capital Markets","2","20191","20202"
"ACC 531 Unternehmensbewertung","3","20112","20201"
"ACC 532 Financial Statement Analysis & Equity Valuation","4","20102","20192"
"ACC 540 Financial Statement Analysis & Equity Valuation","9","20172","20222"
"ACC 551 Controlling","2","20102","20152"
"ACC 552 Wertorientiertes Controlling in der Unternehmenspraxis","4","20102","20161"
"ACC 553 Controlling","14","20111","20172"
"ACC 554 Internationales Konzerncontrolling","8","20102","20152"
"ACC 571 Prüfungslehre und -praxis","1","20102","20131"
"ACC 574 Business Opportunities in the Clean Energy Transition","2","20172","20201"
"ACC 620 Accounting for Financial Instruments & Financial Institutions","1","20192","20221"
"ACC 625 Practical Aspects of M&A Processes","1","20102","20121"
"ACC 627 Fallstudien 'Beratung von Finanzdienstleistern'","3","20172","20201"
"ACC 630 Integriertes Controlling 1 - Planung und Budgetierung","4","20151","20211"
"ACC 631 Integriertes Controlling 2 - Reporting und Performancesteuerung","3","20142","20202"
"ACC 636 Fallstudien für das wertorientierte Risiko-Controlling und -Management im Bankbereich","1","20172","20211"
"ACC 653 Kostenmanagement und - analyse","11","20102","20172"
"ACC 670 Audit Theory","1","20192","20211"
"ACC 672 Corporate Governance Theorie","4","20102","20151"
"BI 651 International Course - Information Technology","1","20122","20152"
"BI 652 International Course - System Design and Development","1","20122","20142"
"BI 653 International Course - Enterprise Applications","5","20131","20162"
"BI 654 International Course - Data and Web Science","1","20161","20182"
"BI 654 Professional Content Management Systems","1","20102","20131"
"Burnout Präventation","4","20101","20132"
"Business Etikette - internationale Do's und Don'ts","5","20102","20132"
"Business Model Innovation","1","20112","20152"
"CC 501 Decision Analysis: Business Analytics II","117","20102","20202"
"CC 503 Empirical Methods: Business Analytics I","47","20101","20191"
"Core skills for young professionals","5","20101","20132"
"Corporate Social Responsibility","5","20102","20152"
"Corporate Strategy","1","20121","20151"
"CS 302 Praktische Informatik I","20","20101","20152"
"CS 307 Algorithmen und Datenstrukturen","31","20101","20191"
"CS 500 Advanced Software Engineering","1110","20101","20222"
"CS 530 Database Systems II","382","20101","20222"
"CS 540 Advanced Computer Networks","452","20101","20222"
"CS 550 Algorithmics","231","20102","20222"
"CS 560 Large-Scale Data Management","440","20122","20222"
"CS 600 Model Driven Development","196","20102","20222"
"CS 604 Resilient Networking","4","20102","20142"
"CS 605 GPU Programming","4","20192","20222"
"CS 610 Principles of Dependables Systems","1","20102","20122"
"CS 620 Design of Reliable Systems","3","20102","20141"
"CS 621 Logikprogrammierung","2","20121","20151"
"CS 631 Transaktionssysteme","6","20152","20192"
"CS 640 Multimedia Technology","33","20111","20191"
"CS 642 Image and Video Processing","19","20112","20172"
"CS 643 Embedded Systems for Industrial Applications","4","20102","20142"
"CS 644 Computer Graphics","24","20112","20182"
"CS 645 Computer Games","40","20112","20211"
"CS 646 Higher Level Computer Vision","25","20152","20222"
"CS 647 Image Processing","25","20161","20222"
"CS 649 Secure Programming","7","20152","20201"
"CS 650 Algorithmik II","1","20102","20132"
"CS 651 Cryptography II","30","20102","20222"
"CS 651 Kryptographie II","30","20102","20222"
"CS 652 Data Security","234","20161","20222"
"CS 653 Practical Applications of Cryptography","2","20152","20211"
"CS 654 Internet of Things Security","2","20192","20211"
"CS 655 Cryptography","19","20191","20222"
"CS 660 Compiler Construction","3","20202","20222"
"CS 661 Parallel Programming","2","20202","20222"
"CS 663 Information Retrieval and Web Search","3","20122","20151"
"CS 665 Selected Topics in IT-Security","9","20132","20171"
"CS 667 Computer Vision","17","20122","20201"
"CS 669 Design of Reliable and Dependable Systems","2","20152","20181"
"CS 701 Selected Topics in Algorithmics and Cryptography","1","20192","20211"
"CS 703 Data Analytics Seminar","4","20122","20162"
"CS 704 Master Seminar Artificial Intelligence","61","20122","20222"
"CS 705 Datenbankseminar","24","20132","20222"
"CS 706 Seminar","19","20122","20172"
"CS 707 Seminar Data and Web Science","79","20112","20222"
"CS 708 Seminar Software Engineering","126","20122","20222"
"CS 709 Seminar Text Analytics","70","20122","20222"
"CS 710 Seminar Selected Topics in Data Science","26","20152","20222"
"CS 711 Intelligent Software Infrastructures - Processes, Methods and Technologies","2","20142","20171"
"CS 714 Seminar","3","20142","20172"
"CS 715 Large-Scale Data Integration Seminar","27","20162","20222"
"CS 716 Seminar IT-Security","25","20171","20222"
"CS 717 Master Seminar on Computer Vision","7","20181","20222"
"CS 718 AI and Data Science in Fiction and Society","14","20181","20222"
"CS 719 Seminar on Process Analysis","16","20191","20222"
"CS 721 Seminar Data-Science I","4","20202","20222"
"Didaktik wirtschaftsethischen Argumentierens","2","20102","20131"
"Diversity Management","2","20102","20132"
"Dummy 1","189","20101","20222"
"Dummy 10","7","20192","20222"
"Dummy 2","133","20101","20222"
"Dummy 3","64","20101","20222"
"Dummy 4","26","20101","20222"
"Dummy 5","6","20112","20201"
"Dummy 6","3","20112","20191"
"Dummy 7","1","20162","20191"
"Dummy 8","1","20162","20191"
"Dummy 9","1","20162","20191"
"Durchsetzungsfähigkeit und Verhandlungstechnik - Beruflich und Privat erfolgreich kommunizieren","1","20111","20132"
